Year,EmployerName,Position,RegularPay,TotalWages
2024,"University of California, Berkeley",Assistant Prof-Ay,133683,177895
2024,"University of California, Berkeley",Assistant Prof-Ay,118850,143719
2024,"University of California, Berkeley",Assistant Prof-Ay,144308,176480
2024,"University of California, Berkeley",Assistant Prof-Ay,133133,177200
2024,"University of California, Berkeley",Assistant Prof-Ay,152600,203058
2024,"University of California, Berkeley",Assistant Prof-Ay,114900,167933
2024,"University of California, Berkeley",Assistant Prof-Ay,112083,142023
2024,"University of California, Berkeley",Assistant Prof-Ay,119283,209110
2024,"University of California, Berkeley",Assistant Prof-Ay,115400,138656
2024,"University of California, Berkeley",Assistant Prof-Ay,121183,256241
2024,"University of California, Berkeley",Assistant Prof-Ay,123525,123525
2024,"University of California, Berkeley",Assistant Prof-Ay,171200,171200
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,135200,179913
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,105000,199524
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,120867,120867
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,143617,191150
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,255233,313655
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,149150,227815
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,267517,326650
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,267517,326650
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,229017,286243
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,112055,169868
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,148950,198250
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144750,192583
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,140700,156343
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144042,183528
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,132133,230733
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144042,214909
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,145733,193910
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,264300,335900
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,133642,136642
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,152142,202859
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,140700,172638
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,138583,150760
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,212250,259072
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,145733,145733
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,138583,184450
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,235800,313833
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,239633,292611
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,221083,269861
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,257900,314811
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,212133,260933
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,281917,344117
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,250000,305267
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,132783,184572
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,211983,258761
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,143617,190906
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,207800,274059
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,141100,172233
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,230983,281939
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,282017,344239
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,219283,267661
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,122167,166234
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,55967,84830
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,105455,144196
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,132967,216568
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,132967,162034
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,133947,177546
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,135200,135200
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144042,196009
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,202408,372635
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,128046,195796
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,145117,343150
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,207800,259852
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,55317,83618
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,131183,178515
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,55317,55317
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,143617,159461
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,295467,360667
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,293567,358478
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144092,191741
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,146983,154615
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,148350,195725
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,146625,225825
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,144083,144083
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,55442,55442
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,134350,182817
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,120867,164467
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,253217,340167
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,225233,275033
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,225233,280342
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,263200,321378
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,239375,292275
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,251000,334067
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,218383,266672
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,234528,314528
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,205583,250939
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,124658,169625
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,267683,329839
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,282167,375567
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,146633,196400
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,220517,220640
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,139092,302857
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,151767,199289
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,145650,205801
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,135100,229016
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,129808,248145
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,135200,184889
2024,"University of California, Berkeley",Assistant Prof-Ay-B/E/E,140700,187647
2024,"University of California, Berkeley",Assistant Prof-Fy,174200,187223
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,238925,238925
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,149967,193505
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,52425,67319
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,148933,198231
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,143617,203832
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,76388,89720
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,147333,206100
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,8897,8897
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,177750,217165
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,141000,189665
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,106600,130222
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,29150,29150
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,76771,76771
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,0,17500
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,126450,162624
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,146783,172776
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,120990,121190
2024,"University of California, Berkeley",Assoc Adj Prof-Ay,58717,58717
2024,"University of California, Berkeley",Assoc Adj Prof-Ay-1/9,0,24975
2024,"University of California, Berkeley",Assoc Adj Prof-Ay-B/E/E,185600,189850
2024,"University of California, Berkeley",Assoc Adj Prof-Ay-B/E/E,110833,110833
2024,"University of California, Berkeley",Assoc Adj Prof-Ay-B/E/E,73817,73817
2024,"University of California, Berkeley",Assoc Adj Prof-Fy,134342,134342
2024,"University of California, Berkeley",Assoc Adj Prof-Fy,135167,135167
2024,"University of California, Berkeley",Assoc Prof In Res-Ay,142858,190081
2024,"University of California, Berkeley",Assoc Prof In Res-Ay,146092,204620
2024,"University of California, Berkeley",Assoc Prof In Res-Ay,139833,139833
2024,"University of California, Berkeley",Assoc Prof In Res-Ay-B/E/E,150267,201471
2024,"University of California, Berkeley",Assoc Prof Of Clin-Hcomp,160594,181280
2024,"University of California, Berkeley",Assoc Prof Of Clin-Hcomp,141566,176050
